date,canton_id,total
5.4.2020,4,14
5.4.2020,5,2
5.4.2020,6,0
5.4.2020,7,1
5.4.2020,8,4
5.4.2020,9,3
5.4.2020,10,8
5.4.2020,11,4
5.4.2020,0,38
6.4.2020,2,3
6.4.2020,3,0
6.4.2020,4,5
6.4.2020,5,2
6.4.2020,6,0
6.4.2020,7,0
6.4.2020,8,10
6.4.2020,9,1
6.4.2020,10,2
6.4.2020,11,1
6.4.2020,0,24
7.4.2020,2,5
7.4.2020,3,0
7.4.2020,4,2
7.4.2020,5,3
7.4.2020,6,1
7.4.2020,7,2
7.4.2020,8,17
7.4.2020,9,1
7.4.2020,10,5
7.4.2020,11,4
7.4.2020,0,40
8.4.2020,2,2
8.4.2020,3,0
8.4.2020,4,5
8.4.2020,5,1
8.4.2020,6,1
8.4.2020,7,0
8.4.2020,8,12
8.4.2020,9,3
8.4.2020,10,1
8.4.2020,11,2
8.4.2020,0,27
9.4.2020,2,0
9.4.2020,3,0
9.4.2020,4,1
9.4.2020,5,1
9.4.2020,6,1
9.4.2020,7,0
9.4.2020,8,25
9.4.2020,9,10
9.4.2020,10,0
9.4.2020,11,3
9.4.2020,0,41
10.4.2020,2,2
10.4.2020,3,0
10.4.2020,4,0
10.4.2020,5,0
10.4.2020,6,1
10.4.2020,7,0
10.4.2020,8,13
10.4.2020,9,7
10.4.2020,10,3
10.4.2020,11,4
10.4.2020,0,30
11.4.2020,2,1
11.4.2020,3,0
11.4.2020,4,1
11.4.2020,5,6
11.4.2020,6,0
11.4.2020,7,0
11.4.2020,8,8
11.4.2020,9,5
11.4.2020,10,1
11.4.2020,11,3
11.4.2020,0,25
12.4.2020,2,4
12.4.2020,3,0
12.4.2020,4,1
12.4.2020,5,14
12.4.2020,6,2
12.4.2020,7,1
12.4.2020,8,8
12.4.2020,9,0
12.4.2020,10,3
12.4.2020,11,3
12.4.2020,0,36
13.4.2020,2,4
13.4.2020,3,0
13.4.2020,4,0
13.4.2020,5,5
13.4.2020,6,1
13.4.2020,7,3
13.4.2020,8,3
13.4.2020,9,0
13.4.2020,10,6
13.4.2020,11,0
13.4.2020,0,22
14.4.2020,2,4
14.4.2020,3,0
14.4.2020,4,0
14.4.2020,5,5
14.4.2020,6,2
14.4.2020,7,1
14.4.2020,8,1
14.4.2020,9,1
14.4.2020,10,7
14.4.2020,11,0
14.4.2020,0,21
15.4.2020,2,8
15.4.2020,3,0
15.4.2020,4,0
15.4.2020,5,1
15.4.2020,6,0
15.4.2020,7,0
15.4.2020,8,4
15.4.2020,9,0
15.4.2020,10,10
15.4.2020,11,4
15.4.2020,0,27
16.4.2020,2,1
16.4.2020,3,0
16.4.2020,4,0
16.4.2020,5,9
16.4.2020,6,0
16.4.2020,7,1
16.4.2020,8,4
16.4.2020,9,0
16.4.2020,10,2
16.4.2020,11,0
16.4.2020,0,17
17.4.2020,2,0
17.4.2020,3,0
17.4.2020,4,0
17.4.2020,5,15
17.4.2020,6,6
17.4.2020,7,0
17.4.2020,8,3
17.4.2020,9,5
17.4.2020,10,1
17.4.2020,11,7
17.4.2020,0,37
18.4.2020,2,1
18.4.2020,3,0
18.4.2020,4,0
18.4.2020,5,2
18.4.2020,6,0
18.4.2020,7,0
18.4.2020,8,1
18.4.2020,9,1
18.4.2020,10,4
18.4.2020,11,0
18.4.2020,0,9
19.4.2020,2,0
19.4.2020,3,0
19.4.2020,4,0
19.4.2020,5,2
19.4.2020,6,0
19.4.2020,7,0
19.4.2020,8,5
19.4.2020,9,0
19.4.2020,10,1
19.4.2020,11,0
19.4.2020,0,8
20.4.2020,2,1
20.4.2020,3,0
20.4.2020,4,0
20.4.2020,5,3
20.4.2020,6,0
20.4.2020,7,2
20.4.2020,8,4
20.4.2020,9,4
20.4.2020,10,4
20.4.2020,11,0
20.4.2020,0,18
21.4.2020,2,4
21.4.2020,3,0
21.4.2020,4,0
21.4.2020,5,2
21.4.2020,6,0
21.4.2020,7,0
21.4.2020,8,3
21.4.2020,9,2
21.4.2020,10,0
21.4.2020,11,1
21.4.2020,0,12
22.4.2020,2,4
22.4.2020,3,0
22.4.2020,4,0
22.4.2020,5,5
22.4.2020,6,0
22.4.2020,7,2
22.4.2020,8,3
22.4.2020,9,1
22.4.2020,10,3
22.4.2020,11,1
22.4.2020,0,19
23.4.2020,2,1
23.4.2020,3,0
23.4.2020,4,0
23.4.2020,5,0
23.4.2020,6,0
23.4.2020,7,0
23.4.2020,8,0
23.4.2020,9,0
23.4.2020,10,2
23.4.2020,11,0
23.4.2020,0,3
24.4.2020,2,0
24.4.2020,3,0
24.4.2020,4,0
24.4.2020,5,1
24.4.2020,6,0
24.4.2020,7,0
24.4.2020,8,6
24.4.2020,9,1
24.4.2020,10,1
24.4.2020,11,3
24.4.2020,0,12
25.4.2020,2,2
25.4.2020,3,0
25.4.2020,4,0
25.4.2020,5,24
25.4.2020,6,0
25.4.2020,7,1
25.4.2020,8,0
25.4.2020,9,0
25.4.2020,10,1
25.4.2020,11,0
25.4.2020,0,28
26.4.2020,2,0
26.4.2020,3,0
26.4.2020,4,0
26.4.2020,5,10
26.4.2020,6,0
26.4.2020,7,0
26.4.2020,8,2
26.4.2020,9,0
26.4.2020,10,0
26.4.2020,11,0
26.4.2020,0,12
27.4.2020,2,1
27.4.2020,3,0
27.4.2020,4,0
27.4.2020,5,11
27.4.2020,6,1
27.4.2020,7,0
27.4.2020,8,0
27.4.2020,9,1
27.4.2020,10,2
27.4.2020,11,0
27.4.2020,0,16
28.4.2020,2,9
28.4.2020,3,0
28.4.2020,4,0
28.4.2020,5,19
28.4.2020,6,0
28.4.2020,7,1
28.4.2020,8,5
28.4.2020,9,0
28.4.2020,10,0
28.4.2020,11,0
28.4.2020,0,34
29.4.2020,2,0
29.4.2020,3,0
29.4.2020,4,0
29.4.2020,5,8
29.4.2020,6,0
29.4.2020,7,0
29.4.2020,8,10
29.4.2020,9,1
29.4.2020,10,3
29.4.2020,11,0
29.4.2020,0,22
30.4.2020,2,0
30.4.2020,3,0
30.4.2020,4,0
30.4.2020,5,1
30.4.2020,6,0
30.4.2020,7,1
30.4.2020,8,3
30.4.2020,9,1
30.4.2020,10,0
30.4.2020,11,0
30.4.2020,0,6
1.5.2020,2,0
1.5.2020,3,0
1.5.2020,4,0
1.5.2020,5,8
1.5.2020,6,0
1.5.2020,7,2
1.5.2020,8,2
1.5.2020,9,1
1.5.2020,10,0
1.5.2020,11,0
1.5.2020,0,13
2.5.2020,2,2
2.5.2020,3,0
2.5.2020,4,0
2.5.2020,5,7
2.5.2020,6,0
2.5.2020,7,0
2.5.2020,8,0
2.5.2020,9,0
2.5.2020,10,0
2.5.2020,11,0
2.5.2020,0,9
3.5.2020,2,0
3.5.2020,3,0
3.5.2020,4,0
3.5.2020,5,0
3.5.2020,6,0
3.5.2020,7,0
3.5.2020,8,0
3.5.2020,9,0
3.5.2020,10,0
3.5.2020,11,0
3.5.2020,0,0
4.5.2020,2,0
4.5.2020,3,0
4.5.2020,4,0
4.5.2020,5,3
4.5.2020,6,1
4.5.2020,7,0
4.5.2020,8,0
4.5.2020,9,0
4.5.2020,10,0
4.5.2020,11,0
4.5.2020,0,4
5.5.2020,2,9
5.5.2020,3,0
5.5.2020,4,0
5.5.2020,5,2
5.5.2020,6,0
5.5.2020,7,0
5.5.2020,8,0
5.5.2020,9,0
5.5.2020,10,0
5.5.2020,11,0
5.5.2020,0,11
6.5.2020,2,0
6.5.2020,3,0
6.5.2020,4,0
6.5.2020,5,8
6.5.2020,6,0
6.5.2020,7,2
6.5.2020,8,0
6.5.2020,9,0
6.5.2020,10,1
6.5.2020,11,0
6.5.2020,0,11
7.5.2020,2,1
7.5.2020,3,0
7.5.2020,4,0
7.5.2020,5,16
7.5.2020,6,0
7.5.2020,7,0
7.5.2020,8,0
7.5.2020,9,0
7.5.2020,10,0
7.5.2020,11,0
7.5.2020,0,17
8.5.2020,2,1
8.5.2020,3,0
8.5.2020,4,0
8.5.2020,5,6
8.5.2020,6,0
8.5.2020,7,0
8.5.2020,8,0
8.5.2020,9,0
8.5.2020,10,0
8.5.2020,11,0
8.5.2020,0,7
9.5.2020,2,3
9.5.2020,3,0
9.5.2020,4,0
9.5.2020,5,1
9.5.2020,6,0
9.5.2020,7,0
9.5.2020,8,0
9.5.2020,9,0
9.5.2020,10,0
9.5.2020,11,0
9.5.2020,0,4
10.5.2020,2,0
10.5.2020,3,0
10.5.2020,4,0
10.5.2020,5,0
10.5.2020,6,0
10.5.2020,7,0
10.5.2020,8,0
10.5.2020,9,0
10.5.2020,10,0
10.5.2020,11,0
10.5.2020,0,0
11.5.2020,2,0
11.5.2020,3,0
11.5.2020,4,1
11.5.2020,5,0
11.5.2020,6,0
11.5.2020,7,0
11.5.2020,8,0
11.5.2020,9,0
11.5.2020,10,0
11.5.2020,11,0
11.5.2020,0,1
12.5.2020,2,0
12.5.2020,3,0
12.5.2020,4,0
12.5.2020,5,1
12.5.2020,6,0
12.5.2020,7,0
12.5.2020,8,0
12.5.2020,9,0
12.5.2020,10,0
12.5.2020,11,0
12.5.2020,0,1
13.5.2020,2,0
13.5.2020,3,0
13.5.2020,4,1
13.5.2020,5,3
13.5.2020,6,0
13.5.2020,7,0
13.5.2020,8,0
13.5.2020,9,1
13.5.2020,10,1
13.5.2020,11,0
13.5.2020,0,6
14.5.2020,2,1
14.5.2020,3,0
14.5.2020,4,2
14.5.2020,5,4
14.5.2020,6,0
14.5.2020,7,0
14.5.2020,8,0
14.5.2020,9,0
14.5.2020,10,1
