date,state,positive
2020-10-27,AK,28863
2020-10-26,AK,28621
2020-10-25,AK,28197
2020-10-24,AK,27918
2020-10-23,AK,27219
2020-10-22,AK,26485
2020-10-21,AK,25633
2020-10-20,AK,24951
2020-10-19,AK,24330
2020-10-18,AK,23959
2020-10-17,AK,23809
2020-10-16,AK,23287
2020-10-15,AK,22800
2020-10-14,AK,22393
2020-10-13,AK,22006
2020-10-12,AK,21669
2020-10-11,AK,21480
2020-10-10,AK,21406
2020-10-09,AK,21214
2020-10-08,AK,20918
2020-10-07,AK,20609
2020-10-06,AK,20342
2020-10-05,AK,20108
2020-10-04,AK,19940
2020-10-03,AK,19901
2020-10-02,AK,19791
2020-10-01,AK,19599
