"date","canton_id","total"
"2020-10-09","5","49"
"2020-10-09","6","1"
"2020-10-09","7","10"
"2020-10-09","8","74"
"2020-10-09","9","32"
"2020-10-09","10","70"
"2020-10-09","11","18"
"2020-10-09","0","296"
"2020-10-10","2","18"
"2020-10-10","3","3"
"2020-10-10","4","18"
"2020-10-10","5","29"
"2020-10-10","6","1"
"2020-10-10","7","28"
"2020-10-10","8","54"
"2020-10-10","9","6"
"2020-10-10","10","28"
"2020-10-10","11","7"
"2020-10-10","0","192"
"2020-10-11","2","10"
"2020-10-11","3","1"
"2020-10-11","4","10"
"2020-10-11","5","9"
"2020-10-11","6","0"
"2020-10-11","7","7"
"2020-10-11","8","10"
"2020-10-11","9","1"
"2020-10-11","10","26"
"2020-10-11","11","0"
"2020-10-11","0","74"
"2020-10-12","2","10"
"2020-10-12","3","0"
"2020-10-12","4","6"
"2020-10-12","5","19"
"2020-10-12","6","2"
"2020-10-12","7","1"
"2020-10-12","8","44"
"2020-10-12","9","38"
"2020-10-12","10","68"
"2020-10-12","11","1"
"2020-10-12","0","189"
"2020-10-13","2","11"
"2020-10-13","3","2"
"2020-10-13","4","24"
"2020-10-13","5","63"
"2020-10-13","6","3"
"2020-10-13","7","32"
"2020-10-13","8","80"
"2020-10-13","9","15"
"2020-10-13","10","77"
"2020-10-13","11","30"
"2020-10-13","0","337"
"2020-10-14","2","21"
"2020-10-14","3","1"
"2020-10-14","4","35"
"2020-10-14","5","68"
"2020-10-14","6","3"
"2020-10-14","7","13"
"2020-10-14","8","107"
"2020-10-14","9","39"
"2020-10-14","10","85"
"2020-10-14","11","15"
"2020-10-14","0","387"
"2020-10-15","2","29"
"2020-10-15","3","1"
"2020-10-15","4","37"
"2020-10-15","5","71"
"2020-10-15","6","6"
"2020-10-15","7","29"
"2020-10-15","8","100"
"2020-10-15","9","10"
"2020-10-15","10","104"
"2020-10-15","11","20"
"2020-10-15","0","407"
"2020-10-16","2","31"
"2020-10-16","3","1"
"2020-10-16","4","40"
"2020-10-16","5","47"
"2020-10-16","6","5"
"2020-10-16","7","10"
"2020-10-16","8","107"
"2020-10-16","9","46"
"2020-10-16","10","186"
"2020-10-16","11","14"
"2020-10-16","0","487"
"2020-10-17","2","17"
"2020-10-17","3","4"
"2020-10-17","4","49"
"2020-10-17","5","48"
"2020-10-17","6","10"
"2020-10-17","7","42"
"2020-10-17","8","115"
"2020-10-17","9","28"
"2020-10-17","10","195"
"2020-10-17","11","14"
"2020-10-17","0","522"
"2020-10-18","2","11"
"2020-10-18","3","1"
"2020-10-18","4","9"
"2020-10-18","5","0"
"2020-10-18","6","4"
"2020-10-18","7","5"
"2020-10-18","8","12"
"2020-10-18","9","4"
"2020-10-18","10","104"
"2020-10-18","11","0"
"2020-10-18","0","150"
"2020-10-19","2","4"
"2020-10-19","3","2"
"2020-10-19","4","21"
"2020-10-19","5","48"
"2020-10-19","6","10"
"2020-10-19","7","19"
"2020-10-19","8","82"
"2020-10-19","9","44"
"2020-10-19","10","140"
"2020-10-19","11","1"
"2020-10-19","0","371"
"2020-10-20","2","24"
"2020-10-20","3","2"
"2020-10-20","4","52"
"2020-10-20","5","70"
"2020-10-20","6","18"
"2020-10-20","7","33"
"2020-10-20","8","196"
"2020-10-20","9","28"
"2020-10-20","10","158"
"2020-10-20","11","40"
"2020-10-20","0","621"
"2020-10-21","2","19"
"2020-10-21","3","1"
"2020-10-21","4","70"
"2020-10-21","5","111"
"2020-10-21","6","7"
"2020-10-21","7","33"
"2020-10-21","8","160"
"2020-10-21","9","57"
"2020-10-21","10","201"
"2020-10-21","11","23"
"2020-10-21","0","682"
"2020-10-22","2","22"
"2020-10-22","3","6"
"2020-10-22","4","98"
"2020-10-22","5","176"
"2020-10-22","6","11"
"2020-10-22","7","67"
"2020-10-22","8","161"
"2020-10-22","9","31"
"2020-10-22","10","254"
"2020-10-22","11","26"
"2020-10-22","0","852"
"2020-10-23","2","25"
"2020-10-23","3","5"
"2020-10-23","4","53"
"2020-10-23","5","93"
"2020-10-23","6","15"
"2020-10-23","7","52"
"2020-10-23","8","158"
"2020-10-23","9","49"
"2020-10-23","10","252"
"2020-10-23","11","32"
"2020-10-23","0","734"
"2020-10-24","2","17"
"2020-10-24","3","11"
"2020-10-24","4","80"
"2020-10-24","5","44"
"2020-10-24","6","15"
"2020-10-24","7","38"
"2020-10-24","8","167"
"2020-10-24","9","41"
"2020-10-24","10","263"
"2020-10-24","11","23"
"2020-10-24","0","699"
"2020-10-25","2","14"
"2020-10-25","3","1"
"2020-10-25","4","24"
"2020-10-25","5","0"
"2020-10-25","6","18"
"2020-10-25","7","27"
"2020-10-25","8","49"
"2020-10-25","9","4"
"2020-10-25","10","137"
"2020-10-25","11","5"
"2020-10-25","0","279"
"2020-10-26","2","19"
"2020-10-26","3","1"
"2020-10-26","4","25"
"2020-10-26","5","7"
"2020-10-26","6","12"
"2020-10-26","7","44"
"2020-10-26","8","131"
"2020-10-26","9","32"
"2020-10-26","10","150"
"2020-10-26","11","3"
"2020-10-26","0","424"
"2020-10-27","2","0"
"2020-10-27","3","14"
"2020-10-27","4","95"
"2020-10-27","5","11"
"2020-10-27","6","1"
"2020-10-27","7","21"
"2020-10-27","8","19"
"2020-10-27","9","11"
"2020-10-27","10","0"
"2020-10-27","11","70"
"2020-10-27","0","242"
