"id","canton_id","date","total","created_at","updated_at"
"443","4","2020-04-05","14","2020-10-27 09:01:02","2020-10-27 09:01:02"
"444","5","2020-04-05","2","2020-10-27 09:01:02","2020-10-27 09:01:02"
"445","6","2020-04-05","0","2020-10-27 09:01:02","2020-10-27 09:01:02"
"446","7","2020-04-05","1","2020-10-27 09:01:02","2020-10-27 09:01:02"
"447","8","2020-04-05","4","2020-10-27 09:01:02","2020-10-27 09:01:02"
"448","9","2020-04-05","3","2020-10-27 09:01:02","2020-10-27 09:01:02"
"449","10","2020-04-05","8","2020-10-27 09:01:02","2020-10-27 09:01:02"
"450","11","2020-04-05","4","2020-10-27 09:01:02","2020-10-27 09:01:02"
"451","0","2020-04-05","38","2020-10-27 09:01:02","2020-10-27 09:01:02"
"452","2","2020-04-06","3","2020-10-27 09:01:02","2020-10-27 09:01:02"
"453","3","2020-04-06","0","2020-10-27 09:01:02","2020-10-27 09:01:02"
"454","4","2020-04-06","5","2020-10-27 09:01:03","2020-10-27 09:01:03"
"455","5","2020-04-06","2","2020-10-27 09:01:03","2020-10-27 09:01:03"
"456","6","2020-04-06","0","2020-10-27 09:01:03","2020-10-27 09:01:03"
"457","7","2020-04-06","0","2020-10-27 09:01:03","2020-10-27 09:01:03"
"458","8","2020-04-06","10","2020-10-27 09:01:03","2020-10-27 09:01:03"
"459","9","2020-04-06","1","2020-10-27 09:01:03","2020-10-27 09:01:03"
"460","10","2020-04-06","2","2020-10-27 09:01:03","2020-10-27 09:01:03"
"461","11","2020-04-06","1","2020-10-27 09:01:03","2020-10-27 09:01:03"
"462","0","2020-04-06","24","2020-10-27 09:01:03","2020-10-27 09:01:03"
"463","2","2020-04-07","5","2020-10-27 09:01:03","2020-10-27 09:01:03"
"464","3","2020-04-07","0","2020-10-27 09:01:03","2020-10-27 09:01:03"
"465","4","2020-04-07","2","2020-10-27 09:01:03","2020-10-27 09:01:03"
"466","5","2020-04-07","3","2020-10-27 09:01:03","2020-10-27 09:01:03"
"467","6","2020-04-07","1","2020-10-27 09:01:03","2020-10-27 09:01:03"
"468","7","2020-04-07","2","2020-10-27 09:01:04","2020-10-27 09:01:04"
"469","8","2020-04-07","17","2020-10-27 09:01:04","2020-10-27 09:01:04"
"470","9","2020-04-07","1","2020-10-27 09:01:04","2020-10-27 09:01:04"
"471","10","2020-04-07","5","2020-10-27 09:01:04","2020-10-27 09:01:04"
"472","11","2020-04-07","4","2020-10-27 09:01:04","2020-10-27 09:01:04"
"473","0","2020-04-07","40","2020-10-27 09:01:04","2020-10-27 09:01:04"
"474","2","2020-04-08","2","2020-10-27 09:01:04","2020-10-27 09:01:04"
"475","3","2020-04-08","0","2020-10-27 09:01:04","2020-10-27 09:01:04"
"476","4","2020-04-08","5","2020-10-27 09:01:04","2020-10-27 09:01:04"
"477","5","2020-04-08","1","2020-10-27 09:01:04","2020-10-27 09:01:04"
"478","6","2020-04-08","1","2020-10-27 09:01:04","2020-10-27 09:01:04"
"479","7","2020-04-08","0","2020-10-27 09:01:04","2020-10-27 09:01:04"
"480","8","2020-04-08","12","2020-10-27 09:01:05","2020-10-27 09:01:05"
"481","9","2020-04-08","3","2020-10-27 09:01:05","2020-10-27 09:01:05"
"482","10","2020-04-08","1","2020-10-27 09:01:05","2020-10-27 09:01:05"
"483","11","2020-04-08","2","2020-10-27 09:01:05","2020-10-27 09:01:05"
"484","0","2020-04-08","27","2020-10-27 09:01:05","2020-10-27 09:01:05"
"485","2","2020-04-09","0","2020-10-27 09:01:05","2020-10-27 09:01:05"
"486","3","2020-04-09","0","2020-10-27 09:01:05","2020-10-27 09:01:05"
"487","4","2020-04-09","1","2020-10-27 09:01:05","2020-10-27 09:01:05"
"488","5","2020-04-09","1","2020-10-27 09:01:05","2020-10-27 09:01:05"
